state,2019_participation_rate,2019_ebrw,2019_math,2019_total,2018_participation_rate,2018_ebrw,2018_math,2018_total
Alabama,0.07,583,560,1143,0.06,595,571,1166
Alaska,0.41,556,541,1097,0.43,562,544,1106
Arizona,0.31,569,565,1134,0.29,577,572,1149
Arkansas,0.06,582,559,1141,0.05,592,576,1169
California,0.63,534,531,1065,0.6,540,536,1076
Colorado,1.0,518,506,1024,1.0,519,506,1025
Connecticut,1.0,529,516,1046,1.0,535,519,1053
Delaware,1.0,499,486,985,1.0,505,492,998
District of Columbia,0.94,495,480,975,0.92,497,480,977
Florida,1.0,516,483,999,0.56,550,549,1099
Georgia,0.71,538,519,1058,0.7,542,522,1064
Hawaii,0.54,550,550,1100,0.56,480,530,1010
Idaho,1.0,505,488,993,1.0,508,493,1001
Illinois,1.0,509,504,1013,0.99,513,506,1019
Indiana,0.66,543,537,1080,0.63,542,532,1074
Iowa,0.03,622,622,1244,0.03,634,631,1265
Kansas,0.04,618,623,1241,0.04,633,631,1265
Kentucky,0.04,620,612,1232,0.04,630,618,1248
Louisiana,0.05,610,591,1200,0.04,615,595,1210
Maine,0.99,512,502,1013,0.99,512,501,1013
Maryland,0.82,535,523,1058,0.76,545,535,1080
Massachusetts,0.81,559,561,1120,0.8,562,563,1125
Michigan,1.0,507,496,1003,1.0,511,499,1011
Minnesota,0.04,636,648,1284,0.04,643,655,1298
Mississippi,0.03,628,608,1237,0.03,630,606,1236
Missouri,0.04,622,614,1236,0.04,633,629,1262
Montana,0.09,603,596,1199,0.1,606,592,1198
Nebraska,0.03,628,631,1260,0.03,629,623,1252
Nevada,0.2,580,576,1156,0.23,574,566,1140
New Hampshire,0.95,533,526,1059,0.96,535,528,1063
New Jersey,0.82,544,545,1090,0.82,547,547,1094
New Mexico,0.18,543,530,1073,0.16,552,540,1093
New York,0.79,531,533,1064,0.79,534,534,1068
North Carolina,0.51,554,546,1100,0.52,554,543,1098
North Dakota,0.02,627,636,1263,0.02,640,643,1283
Ohio,0.19,550,548,1097,0.18,552,547,1099
Oklahoma,0.22,490,472,963,0.08,541,521,1062
Oregon,0.51,562,550,1112,0.48,564,553,1117
Pennsylvania,0.7,545,537,1082,0.7,547,539,1086
Puerto Rico,0.49058823529411755,483,462,944,0.45745098039215676,512,481,993
Rhode Island,1.0,503,492,995,0.97,513,505,1018
South Carolina,0.68,526,504,1030,0.55,547,523,1070
South Dakota,0.03,633,635,1268,0.03,622,618,1240
Tennessee,0.07,618,602,1220,0.06,624,607,1231
Texas,0.68,515,507,1022,0.66,520,512,1032
Utah,0.04,614,615,1230,0.04,480,530,1010
Vermont,0.66,560,546,1106,0.64,565,554,1120
Virgin Islands,0.49058823529411755,490,445,935,0.45745098039215676,490,445,935
Virginia,0.68,567,551,1119,0.68,567,550,1117
Washington,0.7,539,535,1074,0.69,543,538,1081
West Virginia,0.99,483,460,943,0.28,513,486,999
Wisconsin,0.03,635,648,1283,0.03,641,653,1294
Wyoming,0.03,623,615,1238,0.03,633,625,1257
